tm,DVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
2.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
3.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
4.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
5.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
6.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
7.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
8.000000000000000000e+00,1.000000000000000000e+00,7.500000000000284217e-04
9.000000000000000000e+00,1.000000000000000000e+00,4.000000000000092024e-03
1.000000000000000000e+01,1.000000000000000000e+00,3.250000000000064036e-03
1.100000000000000000e+01,1.000000000000000000e+00,6.250000000000000347e-03
1.200000000000000000e+01,1.000000000000000000e+00,6.250000000000000347e-03
1.300000000000000000e+01,1.000000000000000000e+00,6.250000000000000347e-03
1.400000000000000000e+01,1.000000000000000000e+00,8.000000000000007105e-03
1.500000000000000000e+01,1.000000000000000000e+00,4.750000000000120445e-03
1.600000000000000000e+01,1.000000000000000000e+00,7.249999999999978684e-03
1.700000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
1.800000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
1.900000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.000000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.100000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.200000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.300000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.400000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.500000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
2.600000000000000000e+01,1.000000000000000000e+00,8.750000000000035527e-03
2.700000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
2.800000000000000000e+01,1.000000000000000000e+00,1.125000000000007071e-02
2.900000000000000000e+01,1.000000000000000000e+00,9.500000000000063949e-03
3.000000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
3.100000000000000000e+01,1.000000000000000000e+00,1.200000000000009913e-02
3.200000000000000000e+01,1.000000000000000000e+00,1.349999999999997903e-02
3.300000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-02
3.400000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
3.500000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
3.600000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
3.700000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
3.800000000000000000e+01,1.000000000000000000e+00,1.675000000000004263e-02
3.900000000000000000e+01,1.000000000000000000e+00,2.075000000000013639e-02
4.000000000000000000e+01,1.000000000000000000e+00,1.775000000000002270e-02
4.100000000000000000e+01,1.000000000000000000e+00,1.925000000000007955e-02
4.200000000000000000e+01,1.000000000000000000e+00,2.250000000000014141e-02
4.300000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
4.400000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
4.500000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
4.600000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
4.700000000000000000e+01,1.000000000000000000e+00,2.500000000000000139e-02
4.800000000000000000e+01,1.000000000000000000e+00,2.575000000000002981e-02
4.900000000000000000e+01,1.000000000000000000e+00,2.650000000000005823e-02
5.000000000000000000e+01,1.000000000000000000e+00,2.650000000000005823e-02
5.100000000000000000e+01,1.000000000000000000e+00,2.650000000000005823e-02
5.200000000000000000e+01,1.000000000000000000e+00,2.900000000000009168e-02
5.300000000000000000e+01,1.000000000000000000e+00,2.975000000000012010e-02
5.400000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
5.500000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
5.600000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
5.700000000000000000e+01,1.000000000000000000e+00,3.300000000000000849e-02
5.800000000000000000e+01,1.000000000000000000e+00,3.525000000000009376e-02
5.900000000000000000e+01,1.000000000000000000e+00,4.024999999999998718e-02
6.000000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
6.100000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
6.200000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
6.300000000000000000e+01,1.000000000000000000e+00,4.100000000000001560e-02
6.400000000000000000e+01,1.000000000000000000e+00,4.175000000000004402e-02
6.500000000000000000e+01,1.000000000000000000e+00,4.175000000000004402e-02
6.600000000000000000e+01,1.000000000000000000e+00,4.575000000000013778e-02
6.700000000000000000e+01,1.000000000000000000e+00,4.824999999999999428e-02
6.800000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
6.900000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
7.000000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
7.100000000000000000e+01,1.000000000000000000e+00,4.900000000000002270e-02
7.200000000000000000e+01,1.000000000000000000e+00,5.225000000000008804e-02
7.300000000000000000e+01,1.000000000000000000e+00,5.400000000000008959e-02
7.400000000000000000e+01,1.000000000000000000e+00,5.625000000000000139e-02
7.500000000000000000e+01,1.000000000000000000e+00,5.700000000000002981e-02
7.600000000000000000e+01,1.000000000000000000e+00,5.700000000000002981e-02
7.700000000000000000e+01,1.000000000000000000e+00,5.700000000000002981e-02
7.800000000000000000e+01,1.000000000000000000e+00,5.549999999999997297e-02
7.900000000000000000e+01,1.000000000000000000e+00,5.875000000000003830e-02
8.000000000000000000e+01,1.000000000000000000e+00,6.200000000000009670e-02
8.100000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
8.200000000000000000e+01,1.000000000000000000e+00,6.524999999999998856e-02
8.300000000000000000e+01,1.000000000000000000e+00,6.750000000000007383e-02
8.400000000000000000e+01,1.000000000000000000e+00,7.000000000000010381e-02
8.500000000000000000e+01,1.000000000000000000e+00,7.075000000000013223e-02
8.600000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
8.700000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
8.800000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
8.900000000000000000e+01,1.000000000000000000e+00,7.324999999999999567e-02
9.000000000000000000e+01,1.000000000000000000e+00,7.575000000000002565e-02
9.100000000000000000e+01,1.000000000000000000e+00,7.875000000000013933e-02
9.200000000000000000e+01,1.000000000000000000e+00,8.049999999999997435e-02
9.300000000000000000e+01,1.000000000000000000e+00,8.125000000000000278e-02
9.400000000000000000e+01,1.000000000000000000e+00,8.125000000000000278e-02
9.500000000000000000e+01,1.000000000000000000e+00,8.200000000000003120e-02
9.600000000000000000e+01,1.000000000000000000e+00,8.125000000000000278e-02
9.700000000000000000e+01,1.000000000000000000e+00,8.700000000000010503e-02
9.800000000000000000e+01,1.000000000000000000e+00,8.849999999999998146e-02
9.900000000000000000e+01,1.000000000000000000e+00,8.925000000000000988e-02
1.000000000000000000e+02,1.000000000000000000e+00,8.925000000000000988e-02
1.010000000000000000e+02,1.000000000000000000e+00,8.925000000000000988e-02
1.020000000000000000e+02,1.000000000000000000e+00,8.925000000000000988e-02
1.030000000000000000e+02,1.000000000000000000e+00,9.250000000000006828e-02
1.040000000000000000e+02,1.000000000000000000e+00,9.175000000000003986e-02
1.050000000000000000e+02,1.000000000000000000e+00,9.750000000000014211e-02
1.060000000000000000e+02,1.000000000000000000e+00,9.750000000000014211e-02
1.070000000000000000e+02,1.000000000000000000e+00,9.750000000000014211e-02
1.080000000000000000e+02,1.000000000000000000e+00,9.824999999999999012e-02
1.090000000000000000e+02,1.000000000000000000e+00,1.037500000000001477e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.077500000000000541e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.054999999999999688e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.095000000000000695e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.087500000000000411e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.120000000000000995e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.134999999999999759e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.134999999999999759e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.134999999999999759e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.134999999999999759e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.134999999999999759e-01
