tm,MVm,PVm
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000000e+00,-1.500000000000056843e-03
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.000000000000000000e+00,-7.500000000000284217e-04
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,1.000000000000000000e+00,9.999999999999787705e-04
1.000000000000000000e+01,1.000000000000000000e+00,9.999999999999787705e-04
1.100000000000000000e+01,1.000000000000000000e+00,3.249999999999886226e-03
1.200000000000000000e+01,1.000000000000000000e+00,5.749999999999921840e-03
1.300000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
1.400000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
1.500000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
1.600000000000000000e+01,1.000000000000000000e+00,8.249999999999957020e-03
1.700000000000000000e+01,1.000000000000000000e+00,1.150000000000002062e-02
1.800000000000000000e+01,1.000000000000000000e+00,1.374999999999992895e-02
1.900000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.000000000000000000e+01,1.000000000000000000e+00,1.624999999999996586e-02
2.100000000000000000e+01,1.000000000000000000e+00,1.775000000000002270e-02
2.200000000000000000e+01,1.000000000000000000e+00,2.274999999999991612e-02
2.300000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
2.400000000000000000e+01,1.000000000000000000e+00,2.424999999999997297e-02
2.500000000000000000e+01,1.000000000000000000e+00,2.599999999999997799e-02
2.600000000000000000e+01,1.000000000000000000e+00,2.899999999999991473e-02
2.700000000000000000e+01,1.000000000000000000e+00,3.074999999999992323e-02
2.800000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
2.900000000000000000e+01,1.000000000000000000e+00,3.224999999999998007e-02
3.000000000000000000e+01,1.000000000000000000e+00,3.324999999999996014e-02
3.100000000000000000e+01,1.000000000000000000e+00,3.874999999999993033e-02
3.200000000000000000e+01,1.000000000000000000e+00,3.949999999999995876e-02
3.300000000000000000e+01,1.000000000000000000e+00,4.049999999999993883e-02
3.400000000000000000e+01,1.000000000000000000e+00,4.199999999999999567e-02
3.500000000000000000e+01,1.000000000000000000e+00,4.774999999999991751e-02
3.600000000000000000e+01,1.000000000000000000e+00,4.849999999999994593e-02
3.700000000000000000e+01,1.000000000000000000e+00,4.924999999999997435e-02
3.800000000000000000e+01,1.000000000000000000e+00,5.175000000000000433e-02
3.900000000000000000e+01,1.000000000000000000e+00,5.499999999999989619e-02
4.000000000000000000e+01,1.000000000000000000e+00,5.649999999999995304e-02
4.100000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
4.200000000000000000e+01,1.000000000000000000e+00,5.724999999999998146e-02
4.300000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
4.400000000000000000e+01,1.000000000000000000e+00,6.449999999999996014e-02
4.500000000000000000e+01,1.000000000000000000e+00,6.624999999999996170e-02
4.600000000000000000e+01,1.000000000000000000e+00,6.849999999999986655e-02
4.700000000000000000e+01,1.000000000000000000e+00,7.274999999999991196e-02
4.800000000000000000e+01,1.000000000000000000e+00,7.274999999999991196e-02
4.900000000000000000e+01,1.000000000000000000e+00,7.499999999999999722e-02
5.000000000000000000e+01,1.000000000000000000e+00,7.999999999999989064e-02
5.100000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
5.200000000000000000e+01,1.000000000000000000e+00,8.074999999999991906e-02
5.300000000000000000e+01,1.000000000000000000e+00,8.549999999999986777e-02
5.400000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
5.500000000000000000e+01,1.000000000000000000e+00,8.874999999999992617e-02
5.600000000000000000e+01,1.000000000000000000e+00,9.024999999999998301e-02
5.700000000000000000e+01,1.000000000000000000e+00,9.124999999999997002e-02
5.800000000000000000e+01,1.000000000000000000e+00,9.524999999999987643e-02
5.900000000000000000e+01,1.000000000000000000e+00,9.524999999999987643e-02
6.000000000000000000e+01,1.000000000000000000e+00,9.674999999999993328e-02
6.100000000000000000e+01,1.000000000000000000e+00,9.749999999999996170e-02
6.200000000000000000e+01,1.000000000000000000e+00,1.000000000000000056e-01
6.300000000000000000e+01,1.000000000000000000e+00,1.039999999999999120e-01
6.400000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
6.500000000000000000e+01,1.000000000000000000e+00,1.047499999999999404e-01
6.600000000000000000e+01,1.000000000000000000e+00,1.080000000000000127e-01
6.700000000000000000e+01,1.000000000000000000e+00,1.097500000000000142e-01
6.800000000000000000e+01,1.000000000000000000e+00,1.104999999999998622e-01
6.900000000000000000e+01,1.000000000000000000e+00,1.129999999999999061e-01
7.000000000000000000e+01,1.000000000000000000e+00,1.137499999999999345e-01
7.100000000000000000e+01,1.000000000000000000e+00,1.192499999999998977e-01
7.200000000000000000e+01,1.000000000000000000e+00,1.152499999999999913e-01
7.300000000000000000e+01,1.000000000000000000e+00,1.162499999999999645e-01
7.400000000000000000e+01,1.000000000000000000e+00,1.209999999999999132e-01
7.500000000000000000e+01,1.000000000000000000e+00,1.209999999999999132e-01
7.600000000000000000e+01,1.000000000000000000e+00,1.209999999999999132e-01
7.700000000000000000e+01,1.000000000000000000e+00,1.242499999999999716e-01
7.800000000000000000e+01,1.000000000000000000e+00,1.242499999999999716e-01
7.900000000000000000e+01,1.000000000000000000e+00,1.289999999999999203e-01
8.000000000000000000e+01,1.000000000000000000e+00,1.289999999999999203e-01
8.100000000000000000e+01,1.000000000000000000e+00,1.289999999999999203e-01
8.200000000000000000e+01,1.000000000000000000e+00,1.337499999999998690e-01
8.300000000000000000e+01,1.000000000000000000e+00,1.362499999999998990e-01
8.400000000000000000e+01,1.000000000000000000e+00,1.369999999999999274e-01
8.500000000000000000e+01,1.000000000000000000e+00,1.369999999999999274e-01
8.600000000000000000e+01,1.000000000000000000e+00,1.379999999999999005e-01
8.700000000000000000e+01,1.000000000000000000e+00,1.402499999999999858e-01
8.800000000000000000e+01,1.000000000000000000e+00,1.452499999999998792e-01
8.900000000000000000e+01,1.000000000000000000e+00,1.452499999999998792e-01
9.000000000000000000e+01,1.000000000000000000e+00,1.452499999999998792e-01
9.100000000000000000e+01,1.000000000000000000e+00,1.459999999999999076e-01
9.200000000000000000e+01,1.000000000000000000e+00,1.474999999999999645e-01
9.300000000000000000e+01,1.000000000000000000e+00,1.499999999999999944e-01
9.400000000000000000e+01,1.000000000000000000e+00,1.524999999999998579e-01
9.500000000000000000e+01,1.000000000000000000e+00,1.532499999999998863e-01
9.600000000000000000e+01,1.000000000000000000e+00,1.532499999999998863e-01
9.700000000000000000e+01,1.000000000000000000e+00,1.587499999999998634e-01
9.800000000000000000e+01,1.000000000000000000e+00,1.604999999999998650e-01
9.900000000000000000e+01,1.000000000000000000e+00,1.612499999999998934e-01
1.000000000000000000e+02,1.000000000000000000e+00,1.597500000000000031e-01
1.010000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
1.020000000000000000e+02,1.000000000000000000e+00,1.612499999999998934e-01
1.030000000000000000e+02,1.000000000000000000e+00,1.619999999999999218e-01
1.040000000000000000e+02,1.000000000000000000e+00,1.677500000000000102e-01
1.050000000000000000e+02,1.000000000000000000e+00,1.692499999999999005e-01
1.060000000000000000e+02,1.000000000000000000e+00,1.699999999999999289e-01
1.070000000000000000e+02,1.000000000000000000e+00,1.717499999999999305e-01
1.080000000000000000e+02,1.000000000000000000e+00,1.742499999999999605e-01
1.090000000000000000e+02,1.000000000000000000e+00,1.749999999999999889e-01
1.100000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.110000000000000000e+02,1.000000000000000000e+00,1.772499999999999076e-01
1.120000000000000000e+02,1.000000000000000000e+00,1.797499999999999376e-01
1.130000000000000000e+02,1.000000000000000000e+00,1.804999999999999660e-01
1.140000000000000000e+02,1.000000000000000000e+00,1.829999999999999960e-01
1.150000000000000000e+02,1.000000000000000000e+00,1.854999999999998594e-01
1.160000000000000000e+02,1.000000000000000000e+00,1.844999999999998863e-01
1.170000000000000000e+02,1.000000000000000000e+00,1.854999999999998594e-01
1.180000000000000000e+02,1.000000000000000000e+00,1.854999999999998594e-01
1.190000000000000000e+02,1.000000000000000000e+00,1.854999999999998594e-01
1.200000000000000000e+02,1.000000000000000000e+00,1.862499999999998879e-01
1.210000000000000000e+02,1.000000000000000000e+00,1.887499999999999178e-01
1.220000000000000000e+02,1.000000000000000000e+00,1.887499999999999178e-01
1.230000000000000000e+02,1.000000000000000000e+00,1.917499999999998650e-01
1.240000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
1.250000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
1.260000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
1.270000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
1.280000000000000000e+02,1.000000000000000000e+00,1.942499999999998950e-01
1.290000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
1.300000000000000000e+02,1.000000000000000000e+00,1.934999999999998666e-01
1.310000000000000000e+02,1.000000000000000000e+00,1.942499999999998950e-01
1.320000000000000000e+02,1.000000000000000000e+00,1.959999999999998965e-01
1.330000000000000000e+02,1.000000000000000000e+00,1.942499999999998950e-01
1.340000000000000000e+02,1.000000000000000000e+00,1.967499999999999249e-01
1.350000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
1.360000000000000000e+02,1.000000000000000000e+00,2.014999999999998737e-01
1.370000000000000000e+02,1.000000000000000000e+00,2.022499999999999021e-01
1.380000000000000000e+02,1.000000000000000000e+00,2.072499999999999898e-01
1.390000000000000000e+02,1.000000000000000000e+00,2.080000000000000182e-01
1.400000000000000000e+02,1.000000000000000000e+00,2.094999999999998808e-01
1.410000000000000000e+02,1.000000000000000000e+00,2.094999999999998808e-01
1.420000000000000000e+02,1.000000000000000000e+00,2.104999999999998539e-01
1.430000000000000000e+02,1.000000000000000000e+00,2.104999999999998539e-01
1.440000000000000000e+02,1.000000000000000000e+00,2.119999999999999107e-01
1.450000000000000000e+02,1.000000000000000000e+00,2.127499999999999392e-01
1.460000000000000000e+02,1.000000000000000000e+00,2.160000000000000253e-01
1.470000000000000000e+02,1.000000000000000000e+00,2.160000000000000253e-01
1.480000000000000000e+02,1.000000000000000000e+00,2.152499999999999969e-01
1.490000000000000000e+02,1.000000000000000000e+00,2.177500000000000269e-01
1.500000000000000000e+02,1.000000000000000000e+00,2.167499999999998594e-01
1.510000000000000000e+02,1.000000000000000000e+00,2.177500000000000269e-01
1.520000000000000000e+02,1.000000000000000000e+00,2.177500000000000269e-01
1.530000000000000000e+02,1.000000000000000000e+00,2.177500000000000269e-01
1.540000000000000000e+02,1.000000000000000000e+00,2.177500000000000269e-01
1.550000000000000000e+02,1.000000000000000000e+00,2.207499999999999463e-01
1.560000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.570000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.580000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.590000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.600000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.610000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.620000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.630000000000000000e+02,1.000000000000000000e+00,2.257499999999998397e-01
1.640000000000000000e+02,1.000000000000000000e+00,2.272499999999998965e-01
1.650000000000000000e+02,1.000000000000000000e+00,2.289999999999999258e-01
1.660000000000000000e+02,1.000000000000000000e+00,2.272499999999998965e-01
1.670000000000000000e+02,1.000000000000000000e+00,2.322499999999999842e-01
1.680000000000000000e+02,1.000000000000000000e+00,2.297499999999999543e-01
1.690000000000000000e+02,1.000000000000000000e+00,2.330000000000000127e-01
1.700000000000000000e+02,1.000000000000000000e+00,2.337499999999998468e-01
1.710000000000000000e+02,1.000000000000000000e+00,2.337499999999998468e-01
1.720000000000000000e+02,1.000000000000000000e+00,2.337499999999998468e-01
1.730000000000000000e+02,1.000000000000000000e+00,2.337499999999998468e-01
1.740000000000000000e+02,1.000000000000000000e+00,2.377499999999999614e-01
1.750000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
1.760000000000000000e+02,1.000000000000000000e+00,2.384999999999999898e-01
1.770000000000000000e+02,1.000000000000000000e+00,2.402499999999999913e-01
1.780000000000000000e+02,1.000000000000000000e+00,2.417499999999998539e-01
1.790000000000000000e+02,1.000000000000000000e+00,2.417499999999998539e-01
1.800000000000000000e+02,1.000000000000000000e+00,2.417499999999998539e-01
1.810000000000000000e+02,1.000000000000000000e+00,2.417499999999998539e-01
1.820000000000000000e+02,1.000000000000000000e+00,2.442499999999999116e-01
1.830000000000000000e+02,1.000000000000000000e+00,2.434999999999998832e-01
1.840000000000000000e+02,1.000000000000000000e+00,2.474999999999999700e-01
1.850000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.860000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.870000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.880000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.890000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.900000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.910000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.920000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.930000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.940000000000000000e+02,1.000000000000000000e+00,2.500000000000000000e-01
1.950000000000000000e+02,1.000000000000000000e+00,2.514999999999998903e-01
1.960000000000000000e+02,1.000000000000000000e+00,2.514999999999998903e-01
1.970000000000000000e+02,1.000000000000000000e+00,2.562499999999999778e-01
1.980000000000000000e+02,1.000000000000000000e+00,2.580000000000000071e-01
1.990000000000000000e+02,1.000000000000000000e+00,2.580000000000000071e-01
2.000000000000000000e+02,1.000000000000000000e+00,2.580000000000000071e-01
2.010000000000000000e+02,1.000000000000000000e+00,2.580000000000000071e-01
2.020000000000000000e+02,1.000000000000000000e+00,2.602499999999999258e-01
2.030000000000000000e+02,1.000000000000000000e+00,2.612499999999998712e-01
2.040000000000000000e+02,1.000000000000000000e+00,2.619999999999998996e-01
2.050000000000000000e+02,1.000000000000000000e+00,2.644999999999999574e-01
2.060000000000000000e+02,1.000000000000000000e+00,2.644999999999999574e-01
2.070000000000000000e+02,1.000000000000000000e+00,2.594999999999998974e-01
2.080000000000000000e+02,1.000000000000000000e+00,2.587499999999998690e-01
2.090000000000000000e+02,1.000000000000000000e+00,2.587499999999998690e-01
2.100000000000000000e+02,1.000000000000000000e+00,2.619999999999998996e-01
2.110000000000000000e+02,1.000000000000000000e+00,2.627499999999999281e-01
2.120000000000000000e+02,1.000000000000000000e+00,2.660000000000000142e-01
2.130000000000000000e+02,1.000000000000000000e+00,2.652499999999999858e-01
2.140000000000000000e+02,1.000000000000000000e+00,2.660000000000000142e-01
2.150000000000000000e+02,1.000000000000000000e+00,2.660000000000000142e-01
2.160000000000000000e+02,1.000000000000000000e+00,2.660000000000000142e-01
2.170000000000000000e+02,1.000000000000000000e+00,2.674999999999999045e-01
2.180000000000000000e+02,1.000000000000000000e+00,2.692499999999998783e-01
2.190000000000000000e+02,1.000000000000000000e+00,2.732499999999999929e-01
2.200000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.210000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.220000000000000000e+02,1.000000000000000000e+00,2.732499999999999929e-01
2.230000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.240000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.250000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.260000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.270000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.280000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.290000000000000000e+02,1.000000000000000000e+00,2.747499999999998832e-01
2.300000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.310000000000000000e+02,1.000000000000000000e+00,2.740000000000000213e-01
2.320000000000000000e+02,1.000000000000000000e+00,2.764999999999998570e-01
2.330000000000000000e+02,1.000000000000000000e+00,2.779999999999999138e-01
2.340000000000000000e+02,1.000000000000000000e+00,2.804999999999999716e-01
2.350000000000000000e+02,1.000000000000000000e+00,2.804999999999999716e-01
2.360000000000000000e+02,1.000000000000000000e+00,2.812500000000000000e-01
2.370000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.380000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.390000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.400000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.410000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.420000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.430000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.440000000000000000e+02,1.000000000000000000e+00,2.830000000000000293e-01
2.450000000000000000e+02,1.000000000000000000e+00,2.830000000000000293e-01
2.460000000000000000e+02,1.000000000000000000e+00,2.819999999999998619e-01
2.470000000000000000e+02,1.000000000000000000e+00,2.877499999999999503e-01
2.480000000000000000e+02,1.000000000000000000e+00,2.869999999999999218e-01
2.490000000000000000e+02,1.000000000000000000e+00,2.877499999999999503e-01
2.500000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.510000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.520000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.530000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.540000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.550000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.560000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.570000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.580000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.590000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.600000000000000000e+02,1.000000000000000000e+00,2.902500000000000080e-01
2.610000000000000000e+02,1.000000000000000000e+00,2.924999999999998712e-01
2.620000000000000000e+02,1.000000000000000000e+00,2.924999999999998712e-01
2.630000000000000000e+02,1.000000000000000000e+00,2.917499999999998428e-01
2.640000000000000000e+02,1.000000000000000000e+00,2.924999999999998712e-01
2.650000000000000000e+02,1.000000000000000000e+00,2.942499999999999005e-01
2.660000000000000000e+02,1.000000000000000000e+00,2.982500000000000151e-01
2.670000000000000000e+02,1.000000000000000000e+00,2.982500000000000151e-01
2.680000000000000000e+02,1.000000000000000000e+00,2.982500000000000151e-01
2.690000000000000000e+02,1.000000000000000000e+00,2.974999999999999867e-01
2.700000000000000000e+02,1.000000000000000000e+00,2.982500000000000151e-01
2.710000000000000000e+02,1.000000000000000000e+00,2.982500000000000151e-01
2.720000000000000000e+02,1.000000000000000000e+00,2.997499999999998499e-01
2.730000000000000000e+02,1.000000000000000000e+00,3.007499999999998508e-01
2.740000000000000000e+02,1.000000000000000000e+00,2.982500000000000151e-01
2.750000000000000000e+02,1.000000000000000000e+00,2.997499999999998499e-01
2.760000000000000000e+02,1.000000000000000000e+00,3.014999999999998792e-01
2.770000000000000000e+02,1.000000000000000000e+00,3.037499999999999645e-01
2.780000000000000000e+02,1.000000000000000000e+00,3.029999999999999361e-01
2.790000000000000000e+02,1.000000000000000000e+00,3.062500000000000222e-01
2.800000000000000000e+02,1.000000000000000000e+00,3.062500000000000222e-01
2.810000000000000000e+02,1.000000000000000000e+00,3.094999999999998863e-01
2.820000000000000000e+02,1.000000000000000000e+00,3.127499999999999725e-01
2.830000000000000000e+02,1.000000000000000000e+00,3.102499999999999147e-01
2.840000000000000000e+02,1.000000000000000000e+00,3.135000000000000009e-01
2.850000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.860000000000000000e+02,1.000000000000000000e+00,3.135000000000000009e-01
2.870000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.880000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.890000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.900000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.910000000000000000e+02,1.000000000000000000e+00,3.152499999999999747e-01
2.920000000000000000e+02,1.000000000000000000e+00,3.142500000000000293e-01
2.930000000000000000e+02,1.000000000000000000e+00,3.160000000000000031e-01
2.940000000000000000e+02,1.000000000000000000e+00,3.174999999999998934e-01
2.950000000000000000e+02,1.000000000000000000e+00,3.160000000000000031e-01
2.960000000000000000e+02,1.000000000000000000e+00,3.182499999999999218e-01
2.970000000000000000e+02,1.000000000000000000e+00,3.167499999999998650e-01
2.980000000000000000e+02,1.000000000000000000e+00,3.174999999999998934e-01
2.990000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
3.000000000000000000e+02,1.000000000000000000e+00,3.224999999999999534e-01
