t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,6.500000000000000000e+01,1.462009325792043057e+02,-2.101986126718707339e+02,1.289976800926664282e+02,0.000000000000000000e+00,6.550000000000000000e+01,1.349000000000000021e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.500000000000000000e+01,1.453014075181517057e+02,-1.933264377400132616e+02,1.130250302218615559e+02,0.000000000000000000e+00,6.550000000000000000e+01,1.381000000000000050e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.499999999999998579e+01,1.453014075181517057e+02,-1.800269457470201360e+02,9.972553822886841601e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.381000000000000050e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.500000000000000000e+01,1.452170770436780174e+02,-1.681336478561449894e+02,8.791657081246697203e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.383999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.500000000000001421e+01,1.447673145131517458e+02,-1.569420298479379881e+02,7.717471533478625645e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.400000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.500000000000001421e+01,1.444018824570991057e+02,-1.471731283564321870e+02,6.777124589933309551e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.413000000000000078e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.500000000000001421e+01,1.443175519826254458e+02,-1.390398458722702344e+02,5.972229388964480279e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.416000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.500000000000000000e+01,1.439521199265728342e+02,-1.313245455946936886e+02,5.237242566812085443e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.428999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.500000000000000000e+01,1.435023573960465058e+02,-1.243153557868339192e+02,4.581299839078741343e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.444999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.500000000000000000e+01,1.433055862889412708e+02,-1.185542180203902518e+02,4.024863173144898099e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.451999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.500000000000000000e+01,1.430525948655202342e+02,-1.133420059693876283e+02,3.528941110386740121e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.460999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.500000000000000000e+01,1.425747221768360475e+02,-1.082900371669274193e+02,3.071531499009136823e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.477999999999999936e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.500000000000000000e+01,1.423217307534150109e+02,-1.041995967219086765e+02,2.687786596849367271e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.486999999999999922e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.500000000000000000e+01,1.421249596463097475e+02,-1.006665286276627000e+02,2.354156898135294540e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.493999999999999950e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,6.500000000000000000e+01,1.415065361668360993e+02,-9.673234825984104646e+01,2.022581209300494010e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.516000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.500000000000000000e+01,1.407756720547308475e+02,-9.297667767554574425e+01,1.720100562081488960e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.541999999999999993e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,6.500000000000000000e+01,1.407756720547308475e+02,-9.095266019838686589e+01,1.517698814365601656e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.541999999999999993e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,6.500000000000000000e+01,1.398761469936782476e+02,-8.747360162528094918e+01,1.259745463160269985e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.574000000000000021e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.500000000000000000e+01,1.398761469936782476e+02,-8.599127734121552180e+01,1.111513034753727069e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.574000000000000021e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,6.500000000000000000e+01,1.389766219326256476e+02,-8.299017170588027170e+01,9.013549773254629471e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.605999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,6.500000000000000000e+01,1.387798508255204126e+02,-8.155917188564859543e+01,7.779321060128189913e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.612999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.500000000000000000e+01,1.380489867134151893e+02,-7.926806191688845615e+01,6.219075203473261482e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,6.500000000000000000e+01,1.380489867134151893e+02,-7.853627232382169154e+01,5.487285610406496872e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
