t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,6.500000000000001421e+01,1.380489867134151893e+02,-1.948539486313318889e+02,1.218049619179167138e+02,0.000000000000000000e+00,6.550000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,6.499999999999998579e+01,1.380489867134151893e+02,-1.805213347620472746e+02,1.074723480486320710e+02,0.000000000000000000e+00,6.550000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,6.500000000000000000e+01,1.380489867134151893e+02,-1.678752188571431248e+02,9.482623214372793541e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.639000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,6.500000000000000000e+01,1.378803257644678126e+02,-1.563996773302863801e+02,8.351935156581856745e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.644999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,6.499999999999998579e+01,1.379646562389415010e+02,-1.467308138149886076e+02,7.376615757604709245e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.642000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,6.500000000000001421e+01,1.373462327594678527e+02,-1.368867786782246867e+02,6.454054591875684821e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.664000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,6.500000000000000000e+01,1.371494616523625893e+02,-1.289219974541528586e+02,5.677253580179026216e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,6.500000000000000000e+01,1.371494616523625893e+02,-1.222416551986744366e+02,5.009219354631185439e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,6.500000000000000000e+01,1.371494616523625893e+02,-1.163473791637738231e+02,4.419791751141123370e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.671000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,6.500000000000000000e+01,1.365310381728889411e+02,-1.099825961113899240e+02,3.845155793850098291e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.692999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,6.500000000000000000e+01,1.362499365913099894e+02,-1.049289305023357883e+02,3.367899391102580609e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,6.500000000000000000e+01,1.362499365913099894e+02,-1.009659719526010662e+02,2.971603536129107681e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.703000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,6.500000000000000000e+01,1.354347420047310777e+02,-9.593486260516357333e+01,2.550012060043249562e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.732000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,6.500000000000000000e+01,1.353504115302573894e+02,-9.277556235612244961e+01,2.242515082586506026e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.735000000000000142e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,6.500000000000000000e+01,1.352379708976258144e+02,-8.992517672271725360e+01,1.968720582509143213e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.739000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,6.500000000000000000e+01,1.346195474181521661e+02,-8.644453369820941191e+01,1.682498628005724939e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.760999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,6.500000000000000000e+01,1.344227763110469027e+02,-8.409437343119816433e+01,1.467159712015126694e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.767999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,6.500000000000000000e+01,1.336075817244679911e+02,-8.083352139344125931e+01,1.222593966897326467e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.796999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,6.500000000000000000e+01,1.335232512499943311e+02,-7.923617483434783537e+01,1.071292358435350422e+01,0.000000000000000000e+00,6.550000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,6.500000000000000000e+01,1.329048277705206544e+02,-7.681152263390143276e+01,8.906694863380780092e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.821999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,6.500000000000000000e+01,1.326237261889417312e+02,-7.523435837264912607e+01,7.610632183707390475e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.832000000000000028e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,6.500000000000000000e+01,1.321739636584154312e+02,-7.349222412645931968e+01,6.318260468043890299e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.848000000000000043e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,6.500000000000000000e+01,1.317242011278891312e+02,-7.190216139266550499e+01,5.177960264776366728e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.864000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,6.500000000000000000e+01,1.316398706534154428e+02,-7.113414038622973123e+01,4.494269732814293761e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.867000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,6.500000000000000000e+01,1.308246760668365312e+02,-6.907083975661902286e+01,3.246163689782497030e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.896000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,6.500000000000000000e+01,1.302624729036786846e+02,-6.763061567326944612e+01,2.368142769590765084e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.916000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.600000000000000000e+01,6.500000000000000000e+01,1.298970408476260445e+02,-6.666409548527816753e+01,1.767054637652127003e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.928999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.700000000000000000e+01,6.500000000000000000e+01,1.295316087915734329e+02,-6.576830446924209639e+01,1.236695677668666171e+00,0.000000000000000000e+00,6.550000000000000000e+01,1.942000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.800000000000000000e+01,6.500000000000000000e+01,1.289975157865734730e+02,-6.461744421796065296e+01,6.199284313871785690e-01,0.000000000000000000e+00,6.550000000000000000e+01,1.960999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
