t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,5.000000000000001421e+01,1.095171761831532393e+02,-1.561476244894459455e+02,9.663044830629272042e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.153999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000001421e+01,1.089549730199953785e+02,-1.437190065689899257e+02,8.476403354899456133e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.173999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000001421e+01,1.091517441271006135e+02,-1.341153336616998217e+02,7.496358953459922247e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.167000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.092360746015743018e+02,-1.254532143021417028e+02,6.621713970056740095e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.164000000000000057e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000711e+01,1.091517441271006135e+02,-1.175028012488143929e+02,5.835105712171378656e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.167000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000711e+01,1.088706425455216902e+02,-1.101075903242473260e+02,5.123694777872564288e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.176999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.087019815965743277e+02,-1.037611369051725774e+02,4.505915530859824969e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.182999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.085895409639427385e+02,-9.824744066882749394e+01,3.965789970488475547e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.085895409639427385e+02,-9.358095291342742428e+01,3.499141194948468581e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.085895409639427385e+02,-8.946356402945892228e+01,3.087402306551618736e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.085895409639427385e+02,-8.583066234612986989e+01,2.724112138218713142e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.085895409639427385e+02,-8.262523895459091250e+01,2.403569799064817758e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.187000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.077743463773638410e+02,-7.826252669786931904e+01,2.048818032050547799e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.216000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.300000000000000000e+01,5.000000000000000000e+01,1.076900159028901669e+02,-7.569297421966628292e+01,1.800295831677611957e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.400000000000000000e+01,5.000000000000000711e+01,1.076900159028901669e+02,-7.357459212753884970e+01,1.588457622464868813e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.500000000000000000e+01,5.000000000000000000e+01,1.076900159028901669e+02,-7.170547699527904228e+01,1.401546109238887183e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.219000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.600000000000000000e+01,5.000000000000000000e+01,1.070715924234165044e+02,-6.889221997819637977e+01,1.182062755477987182e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.241000000000000014e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.700000000000000000e+01,5.000000000000000000e+01,1.067904908418375527e+02,-6.697217746757472412e+01,1.018168662573717143e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.251000000000000156e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.800000000000000000e+01,5.000000000000000000e+01,1.067061603673638785e+02,-6.561537521027713638e+01,8.909214842913259602e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.253999999999999915e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.900000000000000000e+01,5.000000000000000000e+01,1.062563978368375786e+02,-6.372043861893912720e+01,7.464040782101545091e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.269999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+01,5.000000000000000000e+01,1.058909657807849811e+02,-6.215429147502970864e+01,6.263325694244730180e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.100000000000000000e+01,5.000000000000000000e+01,1.058909657807849811e+02,-6.141729499065271369e+01,5.526329209867731684e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.282999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.200000000000000000e+01,5.000000000000000000e+01,1.054412032502586811e+02,-5.992041766372355482e+01,4.479214413464870148e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.298999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.300000000000000000e+01,5.000000000000000000e+01,1.049914407197323811e+02,-5.854675282187992025e+01,3.555312102147536901e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.400000000000000000e+01,5.000000000000000000e+01,1.049914407197323811e+02,-5.812840438399596366e+01,3.136963664263580309e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.500000000000000000e+01,5.000000000000000000e+01,1.043449070821008320e+02,-5.654229180599517690e+01,2.197384723894343139e+00,0.000000000000000000e+00,6.050000000000000000e+01,2.337999999999999901e+01,5.000000000000000000e+01,1.000000000000000000e+00
