t,MV,MVP,MVI,MVD,MVFF,SP,PV,DV
0.000000000000000000e+00,5.000000000000000000e+01,1.050757711942060411e+02,-1.477874282190833810e+02,9.271165702487733995e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.312000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.367194435949172657e+02,8.172800287518488460e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.050757711942060411e+02,-1.272613654916735157e+02,7.218559429746747469e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.312000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.050757711942060411e+02,-1.187673909137934345e+02,6.369161971958739343e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.312000000000000099e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.049914407197323811e+02,-1.111141521474294791e+02,5.612271142769709797e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000711e+01,1.049914407197323811e+02,-1.045102737871001182e+02,4.951883306736774415e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,4.999999999999999289e+01,1.049914407197323811e+02,-9.868346425129132626e+01,4.369202353155893803e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000711e+01,1.049914407197323811e+02,-9.354228697423147310e+01,3.855084625449909908e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.314999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.047946696126271178e+02,-8.863567615636613084e+01,3.384100654373901307e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.321999999999999886e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,4.999999999999999289e+01,1.048790000871008061e+02,-8.481239171810454991e+01,2.993339163100373668e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.319000000000000128e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.046260086636797553e+02,-8.081395906492539893e+01,2.618795040124564721e+01,0.000000000000000000e+00,6.050000000000000000e+01,2.328000000000000114e+01,5.000000000000000000e+01,1.000000000000000000e+00
